Index,First,Quality_1,Second,Quality_2,Type,Longitude,Latitude,ElevAngle,Temp
0,2023-06-08 10:53:48,9,2023-06-08 20:18:48,9,Midnight,125.69,26.006,-6.0,26.8
4,2023-06-10 10:49:48,9,2023-06-10 20:28:48,9,Midnight,125.038,22.915,-6.0,27.63
10,2023-06-13 10:49:48,9,2023-06-13 20:23:48,9,Midnight,125.817,23.781,-6.0,27.34
11,2023-06-13 20:23:48,9,2023-06-14 10:53:48,9,Midday,125.343,24.54,-6.0,26.66
26,2023-06-21 11:02:48,9,2023-06-21 20:16:48,9,Midnight,125.498,27.531,-6.0,27.14
32,2023-06-24 10:51:48,9,2023-06-24 20:30:48,9,Midnight,125.285,22.538,-6.0,28.21
35,2023-06-25 20:32:48,9,2023-06-26 10:49:48,9,Midday,125.365,21.669,-6.0,28.8
36,2023-06-26 10:49:48,9,2023-06-26 20:34:48,9,Midnight,125.141,21.293,-6.0,28.74
39,2023-06-28 20:31:48,9,2023-06-29 10:50:48,9,Midday,125.52,22.224,-6.0,28.84
40,2023-06-29 10:50:48,9,2023-06-29 20:43:48,9,Midnight,124.045,19.626,-6.0,28.77
41,2023-06-29 20:43:48,9,2023-06-30 10:57:48,9,Midday,123.195,21.182,-6.0,28.12
42,2023-06-30 10:57:48,9,2023-06-30 20:29:48,9,Midnight,124.97,24.259,-6.0,28.26
43,2023-06-30 20:29:48,9,2023-07-01 10:59:48,9,Midday,124.744,24.665,-6.0,27.75
47,2023-07-02 20:33:48,9,2023-07-03 10:57:48,9,Midday,124.59,23.558,-6.0,28.82
50,2023-07-04 10:51:48,9,2023-07-04 20:51:48,9,Midnight,123.158,18.31,-6.0,29.44
51,2023-07-04 20:51:48,9,2023-07-05 11:04:48,9,Midday,121.555,21.321,-6.0,29.61
54,2023-07-06 11:00:48,9,2023-07-06 20:52:48,9,Midnight,121.995,20.357,-6.0,29.64
55,2023-07-06 20:52:48,9,2023-07-07 10:52:48,9,Midday,123.015,18.481,-6.0,30.05
56,2023-07-07 10:52:48,9,2023-07-07 20:51:48,9,Midnight,123.16,18.806,-6.0,29.22
57,2023-07-07 20:51:48,9,2023-07-08 10:48:48,9,Midday,123.68,17.85,-6.0,29.66
58,2023-07-08 10:48:48,9,2023-07-08 20:34:48,9,Midnight,125.824,21.934,-6.0,29.3
59,2023-07-08 20:34:48,9,2023-07-09 10:54:48,9,Midday,125.093,23.298,-6.0,29.26
60,2023-07-09 10:54:48,9,2023-07-09 20:36:48,9,Midnight,124.862,22.95,-6.0,28.91
61,2023-07-09 20:36:48,9,2023-07-10 10:56:48,9,Midday,124.63,23.424,-6.0,29.12
62,2023-07-10 10:56:48,9,2023-07-10 20:29:48,9,Midnight,125.523,25.041,-6.0,29.03
65,2023-07-11 20:28:48,9,2023-07-12 10:57:48,9,Midday,125.573,25.653,-6.0,29.33
66,2023-07-12 10:57:48,9,2023-07-12 20:31:48,9,Midnight,125.214,25.114,-6.0,29.17
69,2023-07-13 20:39:48,9,2023-07-14 10:48:48,9,Midday,125.384,21.468,-6.0,28.96
70,2023-07-14 10:48:48,9,2023-07-14 20:38:48,9,Midnight,125.523,21.806,-6.0,28.72
